School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
St Patrick's School (Inglewood),Primary,Full Primary,State: Integrated,6,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Taranaki,New Plymouth
St Patrick's School (Invercargill),Primary,Contributing,State: Integrated,3,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Southland,Invercargill
St Patrick's School (Kaiapoi),Primary,Full Primary,State: Integrated,7,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Canterbury,Waimakariri
St Patrick's School (Kaponga),Primary,Full Primary,State: Integrated,5,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Taranaki,South Taranaki
St Patrick's School (Kilbirnie),Primary,Full Primary,State: Integrated,5,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Wellington
St Patrick's School (Masterton),Primary,Contributing,State: Integrated,5,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Masterton
St Patrick's School (Napier),Primary,Full Primary,State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Hawkes Bay,Napier
St Patrick's School (Nightcaps),Primary,Full Primary,State: Integrated,2,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Southland,Southland
St Patrick's School (Panmure),Primary,Full Primary,State: Integrated,1,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
St Patrick's School (Waimate),Primary,Full Primary,State: Integrated,5,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Canterbury,Waimate
St Paul's Catholic School (Ngaruawahia),Primary,Full Primary,State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Waikato,Waikato
St Paul's College (Ponsonby),Secondary,Secondary (Year 7-15),State: Integrated,2,Single Sex-Boys,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Waitemata
St Paul's Collegiate (Hamilton),Secondary,Secondary (Year 9-15),Private: Fully Reg.,9,"Sen.Co-Ed, Jun.Boys",Religious Affiliation,Anglican,School with Boarding Facilities,Not a Kura School,Waikato,Hamilton
St Paul's School (Massey),Primary,Contributing,State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
St Paul's School (Richmond),Primary,Full Primary,State: Integrated,8,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Tasman,Tasman
St Peter Chanel Catholic School (Te Rapa),Primary,Full Primary,State: Integrated,7,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Waikato,Hamilton
St Peter Chanel School (Green Island),Primary,Full Primary,State: Integrated,8,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Otago,Dunedin
St Peter Chanel School (Motueka),Primary,Full Primary,State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Tasman,Tasman
St Peter Chanel School (Otaki),Primary,Full Primary,State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Kapiti Coast
St Peter's Catholic School (Cambridge),Primary,Full Primary,State: Integrated,9,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Waikato,Waipa
St Peter's College (Epsom),Secondary,Secondary (Year 7-15),State: Integrated,8,Single Sex-Boys,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Waitemata
St Peter's College (Gore),Secondary,Secondary (Year 7-15),State: Integrated,8,Co-Ed,Religious Affiliation,Roman Catholic,School with Boarding Facilities,Not a Kura School,Southland,Gore
St Peter's College (Palmerston North),Secondary,Secondary (Year 7-15),State: Integrated,6,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
St Peter's School (Beckenham),Primary,Full Primary,State: Integrated,8,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Canterbury,Christchurch
St Peter's School (Cambridge),Secondary,Secondary (Year 7-15),Private: Fully Reg.,9,Co-Ed,Religious Affiliation,Anglican,School with Boarding Facilities,Not a Kura School,Waikato,Waipa
St Pius X Catholic School (Glen Innes),Primary,Full Primary,State: Integrated,1,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
St Pius X Catholic School (Melville),Primary,Full Primary,State: Integrated,3,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Waikato,Hamilton
St Pius X School (New Plymouth),Primary,Contributing,State: Integrated,9,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Taranaki,New Plymouth
St Pius X School (Titahi Bay),Primary,Contributing,State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Porirua
St Teresa's School (Bluff),Primary,Full Primary,State: Integrated,3,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Southland,Invercargill
St Teresa's School (Featherston),Primary,Full Primary,State: Integrated,5,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,South Wairarapa
St Teresa's School (Karori),Primary,Full Primary,State: Integrated,10,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Wellington
St Teresa's School (Riccarton),Primary,Full Primary,State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Canterbury,Christchurch
St Theresa's School (Invercargill),Primary,Contributing,State: Integrated,7,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Southland,Invercargill
St Theresa's School (Plimmerton),Primary,Contributing,State: Integrated,10,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Porirua
St Therese School (Three Kings),Primary,Full Primary,State: Integrated,3,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Puketapapa
St Thomas More Catholic School,Primary,Contributing,State: Integrated,7,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
St Thomas of Canterbury College,Secondary,Secondary (Year 7-15),State: Integrated,8,Single Sex-Boys,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Canterbury,Christchurch
St Thomas School (Auckland),Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Orakei
St Thomas School (Winton),Primary,Full Primary,State: Integrated,9,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Southland,Southland
Stanhope Road School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
Stanley Avenue School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Matamata-Piako
Stanley Bay School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Stanmore Bay School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Hibiscus and Bays
Stella Maris Primary School,Primary,Contributing,State: Integrated,9,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Hibiscus and Bays
Stirling School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Stoke School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Nelson,Nelson
Stonefields School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Orakei
Stratford High School,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,Stratford
Stratford High School Teen Parent Unit,Secondary,Teen Parent Unit,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,Stratford
Stratford Primary School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,Stratford
Strath Taieri School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Strathmore School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,South Waikato
Sts Peter and Paul School (L.Hutt),Primary,Full Primary,State: Integrated,9,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Summerland Primary,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Summit Point School,Primary,Full Primary,Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Sch. for Learning/Social Difficulties,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Sumner School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Sunnybrae Normal School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Normal School,Not a Kura School,Auckland,Auckland: Kaipatiki
Sunnyhills School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Sunnynook School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Sunnyvale School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Sunset Primary School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
Sutton Park School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Mangere-Otahuhu
Swannanoa School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Swanson School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Waitakere Ranges
Sylvia Park School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
Tahakopa School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Tahatai Coast School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Tahuna Normal Intermediate,Primary,Intermediate,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Normal School,Not a Kura School,Otago,Dunedin
Tahuna School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Matamata-Piako
Tahunanui School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Nelson,Nelson
Tai Tapu School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Tai Wananga,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Waikato,Hamilton
Taieri Beach School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Taieri College,Secondary,Secondary (Year 7-15),State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Taihape Area School,Composite,Composite (Year 1-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Rangitikei
Taikura Rudolf Steiner School,Composite,Composite (Year 1-15),State: Integrated,6,Co-Ed,Organisational Affiliation,Rudolf Steiner,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Tainui Full Primary School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,South Waikato
Tainui School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Tairangi School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Porirua
Tairua School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Thames-Coromandel
Taita Central School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Taita College,Secondary,Secondary (Year 9-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Taitoko School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Horowhenua
Takaka Primary School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Takanini School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Papakura
Takapau School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Central Hawke's Bay
Takapuna Grammar School,Secondary,Secondary (Year 9-15),State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Takapuna Normal Intermediate,Primary,Intermediate,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Normal School,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Takapuna School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Takaro School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Takitimu Primary School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Tamahere Model Country School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Model School,Not a Kura School,Waikato,Waikato
Tamaki College,Secondary,Secondary (Year 9-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
Tamaki School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
Tamariki School,Primary,Full Primary,State: Integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Tamatea High School,Secondary,Secondary (Year 9-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Tamatea Intermediate,Primary,Intermediate,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Tamatea School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Taneatua School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Whakatane
Tangaroa College,Secondary,Secondary (Year 9-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Otara-Papatoetoe
Tangaroa College Teen Parent Unit,Secondary,Teen Parent Unit,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Otara-Papatoetoe
Tangimoana School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Manawatu
Tangiteroria School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Kaipara
